shop,name,brand,price_jumbo_prime,price_regular,price_now,discount
JUMBO,CREMA DE COCO REAL VALLE GOURMET X 623G,REAL,$ 23.890,0,$ 23.890,0
JUMBO,RON BACARDI CARTA BLANCA X 375 ML,BACARDI,$ 29.990,0,$ 29.990,0
JUMBO,RON MEDELLÍN GRAN SOLERA 19 AÑOS BOTELLA X 750 ML,MEDELLIN,$ 102.600,0,$ 102.600,0
JUMBO,RON BARCELO ANEJO BOTELLA X 750 ML,BARCELO,$ 69.990,0,$ 69.990,0
JUMBO,BASE COCTEL BLOODY MARY MIX SANGRITA X1000ML,BLOODY,$ 20.590,0,$ 20.590,0
JUMBO,RON ABUELO AÑEJO RESERVA ESPECIAL BOTELLA X 750 ML,RON ABUELO,$ 57.990,0,$ 57.990,0
JUMBO,RON ZACAPA CENTENARIO XO X700ML,ZACAPA,$ 709.990,0,$ 709.990,0
JUMBO,RON MEDELLÍN AÑEJO 3 AÑOS X2000ML,MEDELLIN,$ 91.100,0,$ 91.100,0
JUMBO,RON ZACAPA AMBAR CENTENARIO X 750 ML,ZACAPA,$ 107.990,0,$ 107.990,0
JUMBO,RON MEDELLÍN AÑEJO X 750ML,MEDELLIN,$ 38.900,0,$ 38.900,0
JUMBO,RON MEDELLÍN AÑEJO 3 AÑOS TETRA PRISMA X 1050 ML,MEDELLIN,$ 46.850,0,$ 46.850,0
JUMBO,RON MEDELLÍN AÑEJO 3 AÑOS 35%VOL X375ML,MEDELLIN,$ 20.250,0,$ 20.250,0
JUMBO,BASE COCTEL MIX MARGARITA LIMON X1L,MIX,$ 20.590,0,$ 20.590,0
JUMBO,COCTEL LA CELEBRACIÓN DAIQUIRI SIN ALCOHOL X 700ML,LA CELEBRACION,$ 22.990,0,$ 22.990,0
JUMBO,COCTEL LA CELEBRACIÓN MARGARITA SIN ALCOHOL X 700ML,LA CELEBRACION,$ 21.990,0,$ 21.990,0
JUMBO,RON PARCE RESERVA ESPECIAL ANEJO 8 AÑOS BOTELLA X 750 ML,PARCE,$ 191.990,0,$ 191.990,0
JUMBO,RON SANTAFÉ NIDO DE CONDORES 12 AÑOS BOTELLA X 750 ML,SANTAFE,$ 133.990,0,$ 133.990,0
JUMBO,RON BACARDI SUPERIOR X980ML,BACARDI,$ 67.990,0,$ 67.990,0
JUMBO,RON AÑEJO SANTAFE X 750ML,SANTAFE,$ 42.890,0,$ 42.890,0
JUMBO,MEZCLADOR TABASCO BLOODY MARY MIX X946ML,TABASCO,$ 28.990,0,$ 28.990,0
JUMBO,RON SANTA TERESA SOLERA 1796 X 750 ML,SANTA TERESA,$ 187.990,0,$ 187.990,0
JUMBO,RON MEDELLÍN AÑEJO 8 AÑOS X375ML,MEDELLIN,$ 34.150,0,$ 34.150,0
JUMBO,RON SAILOR JERRY SPICED BOT. X 750ML,SAILOR JERRY,$ 72.000,0,$ 72.000,0
JUMBO,RON HAVANA CLUB AÑEJO ESPECIAL X750ML,HAVANA CLUB,$ 55.990,0,$ 55.990,0
JUMBO,COCTEL LA CELEBRACIÓN PINA COLADA SIN ALCOHOL X 700ML,LA CELEBRACION,$ 23.990,0,$ 23.990,0
JUMBO,RON VIEJO DE CALDAS ESENCIAL X1000ML,VIEJO DE CALDAS,$ 45.990,0,$ 45.990,0
JUMBO,RON MEDELLIN DORADO BOTELLA X 375 ML,MEDELLIN,$ 18.550,0,$ 18.550,0
JUMBO,MEZCLA COCT.MASTER OF MIXESFRE.DAIKIRI MARGX1000ML,MASTER OF MIXES,$ 24.390,0,$ 24.390,0
JUMBO,RON MEDELLIN AÑEJO TETRA X 260 ML,MEDELLIN,$ 13.300,0,$ 13.300,0
JUMBO,BASE COCTEL MIX MOJITO LIMON YERBABUENA X1L,MIX,$ 20.590,0,$ 20.590,0
JUMBO,WHISKY GLENMORANGIE MALTA SANTA BOTELLA X700ML,GLENMORANGIE,$ 214.990,0,$ 214.990,0
JUMBO,RON ZACAPA CENTENARIO SISTEMA 23 SOLERA BOTELLA X 750 ML,ZACAPA,$ 244.990,0,$ 244.990,0
JUMBO,KIT GINMIX BOTÁNICOS GIN TONIC X 8 UND X 130 G,GINMIX,$ 149.990,0,$ 149.990,0
JUMBO,RON PLANTATION ORIGINAL DARK BOT. X750ML,PLANTATION,$ 127.990,0,$ 127.990,0
JUMBO,RON APPLETON ESTATE SIGNATURE BLEND BOTELLA X 750ML,APPLETON ESTATE,$ 65.990,0,$ 65.990,0
JUMBO,RON SANTAFE AÑEJO 4 AÑOS X1000 ML,SANTAFE,$ 55.990,0,$ 55.990,0
JUMBO,RON MEDELLÍN BOTELLA X 1000 ML,MEDELLIN,$ 45.550,0,$ 45.550,0
JUMBO,RON BLANCO HAVANA CLUB AÑEJO 3 AÑOS X750ML,HAVANA CLUB,$ 49.990,0,$ 49.990,0
JUMBO,COCTEL LA CELEBRACIÓN MOJITO SIN ALCOHOL X 700ML,LA CELEBRACION,$ 21.990,0,$ 21.990,0
JUMBO,LICOR DE RON MEDELLIN X750ML,MEDELLIN,$ 32.990,0,$ 32.990,0
JUMBO,RON MÁRQUEZ DEL VALLE 8 A X375ML,MARQUES,$ 31.990,0,$ 31.990,0
JUMBO,KIT GINMIX INICIAL BOTANICOS GIN TÓNICO X 4 UND X 11 G C-U,GINMIX,$ 17.590,0,$ 17.590,0
JUMBO,RON DICTADOR 12 AÑOS BOTELLA X 700 ML,DICTADOR,$ 209.990,0,$ 209.990,0
JUMBO,RON VIEJO DE CALDAS BOTELLA X1000ML,VIEJO DE CALDAS,$ 61.990,0,$ 61.990,0
JUMBO,RON BARCELO DOMINICANO GRAN ANEJO BOTELLA X750ML,BARCELO,$ 77.990,0,$ 77.990,0
JUMBO,RON HAVANA CLUB 7 AÑOS X750ML,HAVANA CLUB,$ 83.990,0,$ 83.990,0
JUMBO,ESTUCHE RON 8 AÑOS BOTELLA X 750 ML + VASO,RON MEDELLIN,$ 58.090,0,$ 58.090,0
JUMBO,RON HAVANA CLUB SELECCIÓN MAESTROS BOTELLA X 700ML,HAVANA CLUB,$ 181.900,0,$ 181.900,0
JUMBO,RON MARQUÉS DEL VALLE 3 AÑOS BOTELLA X750 ML,MARQUES,$ 39.490,0,$ 39.490,0
JUMBO,WHISKY THE GLENROTHES 18 AÑOS BOTELLA X700ML,THE GLENROTHES,$ 999.990,0,$ 999.990,0
JUMBO,WHISKY GLENMORANGIE MALTA NECTAR D'OR BOTELLA X700ML,GLENMORANGIE,$ 264.990,0,$ 264.990,0
JUMBO,WHISKY TTHE GLENROTHES MALTA 12 AÑOS BOTELLA X 700ML,THE GLENROTHES,$ 304.990,0,$ 304.990,0
JUMBO,RON BACARDI BAHAMA MAMA BOTELLA X750ML,BACARDI,$ 43.990,0,$ 43.990,0
JUMBO,RON BACARDI GRAN RESERVA 8 ANOS BOT.X750ML,BACARDI,$ 109.990,0,$ 109.990,0
JUMBO,RON VIEJO DE CALDAS 5 AÑOS X 375CM3,VIEJO DE CALDAS,$ 24.590,0,$ 24.590,0
JUMBO,RON VIEJO DE CALDAS 8 ANOS X375 ML,VIEJO DE CALDAS,$ 39.290,0,$ 39.290,0
JUMBO,ESTUCHE CREMA DE RON MEDELLÍN X 750 + 2 COPAS,MEDELLIN,$ 44.600,0,$ 44.600,0
JUMBO,RON VIEJO DE CALDAS GRAN RESERVA 8 AÑOS X 750 ML,VIEJO DE CALDAS,$ 77.090,0,$ 77.090,0
JUMBO,RON MEDELLIN EXTRA AÑEJO 5 AÑOS X 750 ML GRATIS VASO,MEDELLIN,$ 53.990,0,$ 53.990,0
JUMBO,LICOR DE RON MEDELLIN X375ML,MEDELLIN,$ 16.990,0,$ 16.990,0
JUMBO,RON SANTAFE AÑEJO 4 AÑOS X375ML,SANTAFE,$ 24.090,0,$ 24.090,0
JUMBO,RON MARQUÉS DEL VALLE 3 AÑOS BOTELLA X375 ML,MARQUES,$ 21.590,0,$ 21.590,0
JUMBO,RON APPLETON ESTATE SIGNATURE BLEND X 750 ML,APPLETON ESTATE,$ 69.990,0,$ 69.990,0
JUMBO,RON VIEJO CUBASON AÑEJO 3 AÑOS X700 ML,CUBASON,$ 36.990,0,$ 36.990,0
JUMBO,RON SANTAFE 6 AÑOS X375ML,SANTAFE,$ 32.490,0,$ 32.490,0
JUMBO,RON SANTAFE 6 AÑOS X750ML,SANTAFE,$ 55.590,0,$ 55.590,0
