shop,name,brand,price_jumbo_prime,price_regular,price_now,discount
JUMBO,VINO BLANCO MARQUES DE RISCAL RUEDA X750ML,MARQUES,$ 71.990,0,$ 71.990,0
JUMBO,VINO BLANCO FINCA LAS MORAS SAUVIGNON BLANC X750ML,LAS MORAS,$ 50.990,0,$ 50.990,0
JUMBO,VINO BLANCO FINCA LAS MORAS CHARDONNAY X750 ML,LAS MORAS,$ 50.990,0,$ 50.990,0
JUMBO,VINO SAUVIGNON BLANC VINTAGE AUTORITAS X 750 ML,AUTORITAS,$ 26.590,0,$ 26.590,0
JUMBO,VINO FRONTERA SAUVIGNON BLANC X 750ML,FRONTERA,$ 41.990,0,$ 41.990,0
JUMBO,VINO TINTO LEYENDA MERLOT BOTX750ML,LEYENDA,$ 34.690,0,$ 34.690,0
JUMBO,VINO AUTORITAS ROSE SHIRAZ CABERNET BOTELLA X 750ML,AUTORITAS,$ 26.990,0,$ 26.990,0
JUMBO,VINO SANTA CAROLINA RESERVADO CABERNET ROSE X 750 ML,SANTA CAROLINA,$ 42.890,0,$ 42.890,0
JUMBO,VINO BLANCO PANUL SAUVIGNON BLANC X750ML,PANUL,$ 18.990,0,$ 18.990,0
JUMBO,VINO SEGU OLLE BLANCO BRIK X 1000ML,SEGU OLLE,$ 24.590,0,$ 24.590,0
JUMBO,COCTEL CARINOSO TINTO VERANO BOTELLA. X 750 ML,CARINOSO,$ 21.990,0,$ 21.990,0
JUMBO,VINO LAZO CABERNET SAUVIGNON X750ML,LAZO,$ 35.990,0,$ 35.990,0
JUMBO,VINO TINTO SANTA CAROLINA RESERVADO CARMENERE X 750ML,SANTA CAROLINA,$ 42.890,0,$ 42.890,0
JUMBO,VINO CASILLERO DEL DIABLO RED BLEND BOTELLA X 750 ML,CASILLERO DEL DIABLO,$ 69.990,0,$ 69.990,0
JUMBO,VINO BLANCO GATO NEGRO SAUVIGNON X750ML,GATO NEGRO,$ 45.990,0,$ 45.990,0
JUMBO,VINO ALBAI TINTO TEMPRANILLO RIOJA BOT.X750ML,ALBAI,$ 30.990,0,$ 30.990,0
JUMBO,VINO GATO ROSADO BOT X750ML,GATO NEGRO,$ 45.990,0,$ 45.990,0
JUMBO,VINO LAS MORAS ROSE SYRAH X750ML,LAS MORAS,$ 50.990,0,$ 50.990,0
JUMBO,VINO TINTO LEYENDA CABERNET SAUVIGNON BOT.X750ML,LEYENDA,$ 35.990,0,$ 35.990,0
JUMBO,VINO TINTO SANTA RITA RESERVADO CABERNET SAUVIGNON BOTELLA X 750 ML,SANTA RITA,$ 59.190,0,$ 59.190,0
JUMBO,VINO PICCINI LAMBRUSCO REGGIANO TINTO BOTX750ML,PICCINI,$ 45.990,0,$ 45.990,0
JUMBO,VINO TINTO NAVARRO CORREAS COLECCIÓN PRIVADA MALBEC BOTELLA X 750ML,NAVARRO CORREAS,$ 83.690,0,$ 83.690,0
JUMBO,VINO BLANCO LAZO SAUVIGNON BLANC BOT.X750ML,LAZO,$ 35.990,0,$ 35.990,0
JUMBO,VINO TINTO TRAPICHE MALBECX750CM3,TRAPICHE,$ 53.090,0,$ 53.090,0
JUMBO,VINO TINTO NORTON COLECCION MALBEC X750ML,NORTON,$ 53.090,0,$ 53.090,0
JUMBO,VINO TINTO CATENA CABERNET FRANC X 750ML,CATENA,$ 111.990,0,$ 111.990,0
JUMBO,VINO TINTO AUTORITAS MERLOT BOTELLA X 4 UND X 187 ML C/U,AUTORITAS,$ 39.990,0,$ 39.990,0
JUMBO,VINO BLANCO LEYENDA SAUVIGNON BLANC. BOTX750ML,LEYENDA,$ 35.990,0,$ 35.990,0
JUMBO,VINO TINTO SANTA RITA RESERVADO MERLOT X 750 ML,SANTA RITA,$ 59.990,0,$ 59.990,0
JUMBO,VINO DIABLO TINTO DARK RED BOTX750ML,DIABLO,$ 111.990,0,$ 111.990,0
JUMBO,VINO TINTO CASILLERO DEL DIABLO MABELEC X750ML,CASILLERO DEL DIABLO,$ 69.990,0,$ 69.990,0
JUMBO,VINO PEÑASOL ROSADO TEMPRANILLO X 750ML,PENASOL,$ 15.990,0,$ 15.990,0
JUMBO,VINO TINTO SANTA RITA 120 CARMENERE BOTELLA X 750 ML,SANTA RITA,$ 57.990,0,$ 57.990,0
JUMBO,VINO BLANCO MAIPO CHARDONNAY X 750 ML,VINA MAIPO,$ 39.990,0,$ 39.990,0
JUMBO,VINO COTE DES ROSES ROSADO LANGUEDOC BOTELLA X 750 ML,COTE DES ROSES,$ 69.390,0,$ 69.390,0
JUMBO,VINO BORGO SAN LEO SANGIEVESE PUGLIA BOTELLA X750ML,BORGO SAN LEO,$ 29.990,0,$ 29.990,0
JUMBO,VINO TINTO EL ENEMIGO MALBEC BOT.X750ML,EL ENEMIGO,$ 159.990,0,$ 159.990,0
JUMBO,VINO TINTO CATENA MALBEC CONSULTA X750ML,CATENA,$ 111.990,0,$ 111.990,0
JUMBO,VINO GATO NEGRO FOURPACK X 748CM3,GATO NEGRO,$ 59.190,0,$ 59.190,0
JUMBO,VINO LA CELIA RESERVA MALBEC BOTELLA X 750ML,LA CELIA,$ 65.290,0,$ 65.290,0
JUMBO,VINO SANTA RITA TRES MEDALLAS CHARDONNAY BOTELLA X750ML,SANTA RITA,$ 42.890,0,$ 42.890,0
JUMBO,VINO LEYENDA TINTO CARMENERE BOTELLA X 750 ML,LEYENDA,$ 34.690,0,$ 34.690,0
JUMBO,VINO TRAPICHE MALBEC ROBLEX750CM3,TRAPICHE,$ 69.390,0,$ 69.390,0
JUMBO,VINO LAS MORAS ORGÁNICO MALBEC X 750ML,LAS MORAS,$ 61.190,0,$ 61.190,0
JUMBO,VINO MISIONES DE RENGO TINTO CARMENERE BOTX750ML,MISIONES DE RENGO,$ 44.890,0,$ 44.890,0
JUMBO,VINO LA CELIA RESERVA MALBEC CABERNET FRANCESA BOTELLA X 750ML,LA CELIA,$ 65.290,0,$ 65.290,0
JUMBO,VINO MISIONES DE RENGO MERLOT BOTX750ML,MISIONES DE RENGO,$ 44.890,0,$ 44.890,0
JUMBO,VINO TINTO ZUCCARDI MALBEC RESERVA X 750 ML,ZUCCARDI,$ 77.990,0,$ 77.990,0
JUMBO,VINO TINTO VOLCANES CABERNET SAUVIGNON X 750 ML,VOLCANES,$ 65.990,0,$ 65.990,0
JUMBO,VINO PROTOS RIBERA DEL DUEROX750CM3,PROTOS,$ 97.990,0,$ 97.990,0
JUMBO,VINO TINTO BERONIA RIOJA CRIANZA BOT.X750ML,BERONIA CRIANZA,$ 75.490,0,$ 75.490,0
JUMBO,VINO TINTO SANTA RITA SECRETRESERVECARMENEREX750ML,SANTA RITA,$ 89.990,0,$ 89.990,0
JUMBO,VINO SANTA HELENA CARMENERE TINTO X750CC,SANTA HELENA,$ 42.890,0,$ 42.890,0
JUMBO,VINO PICCINI LAMBRUSCO REGGIANO ROSE BOTX750ML,PICCINI,$ 46.990,0,$ 46.990,0
JUMBO,VINO TINTO NORTON DOC MALBEC BOT.X750ML,NORTON,$ 63.990,0,$ 63.990,0
JUMBO,VINO TINTO VOLCANES CARMENERE X 750 ML,VOLCANES,$ 65.990,0,$ 65.990,0
JUMBO,VINO CASILLERO DEL DIABLO SAUVIGNON BLANC X750ML,CASILLERO DEL DIABLO,$ 69.990,0,$ 69.990,0
