shop,city,name,brand,price_jumbo_prime,price_regular,price_now,discount
JUMBO,Medellin,VINO TINTO LEYENDA MERLOT BOTX750ML,LEYENDA,0,0,34690,0
JUMBO,Medellin,VINO AUTORITAS ROSE SHIRAZ CABERNET BOTELLA X 750ML,AUTORITAS,0,0,26990,0
JUMBO,Medellin,VINO SANTA CAROLINA RESERVADO CABERNET ROSE X 750 ML,SANTA CAROLINA,0,0,42890,0
JUMBO,Medellin,VINO BLANCO PANUL SAUVIGNON BLANC X750ML,PANUL,0,0,18990,0
JUMBO,Medellin,VINO SEGU OLLE BLANCO BRIK X 1000ML,SEGU OLLE,0,0,24590,0
JUMBO,Medellin,COCTEL CARINOSO TINTO VERANO BOTELLA. X 750 ML,CARINOSO,0,0,21990,0
JUMBO,Medellin,VINO LAZO CABERNET SAUVIGNON X750ML,LAZO,0,0,35990,0
JUMBO,Medellin,VINO TINTO SANTA CAROLINA RESERVADO CARMENERE X 750ML,SANTA CAROLINA,0,0,42890,0
JUMBO,Medellin,VINO CASILLERO DEL DIABLO RED BLEND BOTELLA X 750 ML,CASILLERO DEL DIABLO,0,0,69990,0
JUMBO,Medellin,VINO ALBAI TINTO TEMPRANILLO RIOJA BOT.X750ML,ALBAI,0,0,30990,0
JUMBO,Medellin,VINO BLANCO GATO NEGRO SAUVIGNON X750ML,GATO NEGRO,0,0,45990,0
JUMBO,Medellin,VINO GATO ROSADO BOT X750ML,GATO NEGRO,0,0,45990,0
JUMBO,Medellin,VINO LAS MORAS ROSE SYRAH X750ML,LAS MORAS,0,0,50990,0
JUMBO,Medellin,VINO TINTO LEYENDA CABERNET SAUVIGNON BOT.X750ML,LEYENDA,0,0,35990,0
JUMBO,Medellin,VINO TINTO SANTA RITA RESERVADO CABERNET SAUVIGNON BOTELLA X 750 ML,SANTA RITA,0,0,59190,0
JUMBO,Medellin,VINO PICCINI LAMBRUSCO REGGIANO TINTO BOTX750ML,PICCINI,0,0,45990,0
JUMBO,Medellin,VINO TINTO NAVARRO CORREAS COLECCIÓN PRIVADA MALBEC BOTELLA X 750ML,NAVARRO CORREAS,0,0,83690,0
JUMBO,Medellin,VINO BLANCO LAZO SAUVIGNON BLANC BOT.X750ML,LAZO,0,0,35990,0
JUMBO,Medellin,VINO TINTO TRAPICHE MALBECX750CM3,TRAPICHE,0,0,53090,0
JUMBO,Medellin,VINO TINTO AUTORITAS MERLOT BOTELLA X 4 UND X 187 ML C/U,AUTORITAS,0,0,39990,0
JUMBO,Medellin,VINO TINTO NORTON COLECCION MALBEC X750ML,NORTON,0,0,53090,0
JUMBO,Medellin,VINO BLANCO LEYENDA SAUVIGNON BLANC. BOTX750ML,LEYENDA,0,0,35990,0
JUMBO,Medellin,VINO TINTO CATENA CABERNET FRANC X 750ML,CATENA,0,0,111990,0
JUMBO,Medellin,VINO TINTO SANTA RITA RESERVADO MERLOT X 750 ML,SANTA RITA,0,0,59990,0
JUMBO,Medellin,VINO DIABLO TINTO DARK RED BOTX750ML,DIABLO,0,0,111990,0
JUMBO,Medellin,VINO TINTO CASILLERO DEL DIABLO MABELEC X750ML,CASILLERO DEL DIABLO,0,0,69990,0
JUMBO,Medellin,VINO PEÑASOL ROSADO TEMPRANILLO X 750ML,PENASOL,0,0,15990,0
JUMBO,Medellin,VINO TINTO SANTA RITA 120 CARMENERE BOTELLA X 750 ML,SANTA RITA,0,0,57990,0
JUMBO,Medellin,VINO BLANCO MAIPO CHARDONNAY X 750 ML,VINA MAIPO,0,0,39990,0
JUMBO,Medellin,VINO COTE DES ROSES ROSADO LANGUEDOC BOTELLA X 750 ML,COTE DES ROSES,0,0,69390,0
JUMBO,Medellin,VINO BORGO SAN LEO SANGIEVESE PUGLIA BOTELLA X750ML,BORGO SAN LEO,0,0,29990,0
JUMBO,Medellin,VINO TINTO EL ENEMIGO MALBEC BOT.X750ML,EL ENEMIGO,0,0,159990,0
JUMBO,Medellin,VINO TINTO CATENA MALBEC CONSULTA X750ML,CATENA,0,0,111990,0
JUMBO,Medellin,VINO GATO NEGRO FOURPACK X 748CM3,GATO NEGRO,0,0,59190,0
JUMBO,Medellin,VINO LA CELIA RESERVA MALBEC BOTELLA X 750ML,LA CELIA,0,65290,48967,25
JUMBO,Medellin,VINO SANTA RITA TRES MEDALLAS CHARDONNAY BOTELLA X750ML,SANTA RITA,0,0,42890,0
JUMBO,Medellin,VINO LEYENDA TINTO CARMENERE BOTELLA X 750 ML,LEYENDA,0,0,34690,0
JUMBO,Medellin,VINO TRAPICHE MALBEC ROBLEX750CM3,TRAPICHE,0,0,69390,0
JUMBO,Medellin,VINO LAS MORAS ORGÁNICO MALBEC X 750ML,LAS MORAS,0,0,61190,0
JUMBO,Medellin,VINO MISIONES DE RENGO TINTO CARMENERE BOTX750ML,MISIONES DE RENGO,0,0,44890,0
JUMBO,Medellin,VINO LA CELIA RESERVA MALBEC CABERNET FRANCESA BOTELLA X 750ML,LA CELIA,0,65290,48967,25
JUMBO,Medellin,VINO MISIONES DE RENGO MERLOT BOTX750ML,MISIONES DE RENGO,0,0,44890,0
JUMBO,Medellin,VINO TINTO ZUCCARDI MALBEC RESERVA X 750 ML,ZUCCARDI,0,0,77990,0
JUMBO,Medellin,VINO TINTO VOLCANES CABERNET SAUVIGNON X 750 ML,VOLCANES,0,0,65990,0
