shop,name,brand,price_jumbo_prime,price_regular,price_now,discount
JUMBO,CERVEZA PREM. HEINEKEN LAGER LATA X6UNDX330MLC-U**,HEINEKEN,$ 17.272,0,$ 21.590,0
JUMBO,CERVEZA POKER MALTA LATA X6UND X330ML C-U,POKER,0,0,$ 14.590,0
JUMBO,CERVEZA GROLSCH BOTELLA X 6UND X 330ML C-U,GROLSCH,$ 17.512,0,$ 21.890,0
JUMBO,CERVEZA CLUB COLOMBIA ROJA LATA SIXPACK X330ML,CLUB COLOMBIA,0,0,$ 15.490,0
JUMBO,CERVEZA CORONA LATA X6UNDS X239ML C/U,CORONA,$ 13.912,0,$ 17.390,0
JUMBO,CERVEZA POKER LATA SIXPACK TERMOENCOGIDO X330ML,POKER,0,0,$ 14.590,0
JUMBO,CERVEZA CLUB COLOMBIA NEGRA LATA X330ML SIXPACK,CLUB COLOMBIA,0,0,$ 15.490,0
JUMBO,CERVEZA LANDVIK LAGER LATA X6UND. X330ML C-U,LANDVIK,$ 10.072,0,$ 12.590,0
JUMBO,CERVEZA 3 CORDILLERAS ROSE 4 PACK BOT X330ML C-U,3 CORDILLERAS,0,0,$ 17.990,0
JUMBO,CERVEZA PERONI EN BOTELLA X 6 UND X 330ML C-U,PERONI,$ 23.352,0,$ 29.190,0
JUMBO,CERVEZABBC LA COTIDIANA CASCADE LATAX4UNDX269MLC-U,BBC,0,0,$ 10.390,0
JUMBO,CERVEZA AGUILA LIGHT LATA X330ML SIXPACK TERMOENCOGIDO,AGUILA,0,0,$ 14.990,0
JUMBO,CERVEZA TROOPER IRON MAIDEN LATA X500ML,TROOPER,$ 11.192,0,$ 13.990,0
JUMBO,CERVEZA GROLSCH BOTELLA X4UND X450ML C/U,GROLSCH,$ 28.792,0,$ 35.990,0
JUMBO,CERVEZA ASAHI SUPER DRY X330ML,ASAHI,$ 4.472,0,$ 5.590,0
JUMBO,CERVEZA WEIDMANN SÚPER STRONG LATA X 500 ML,WEIDMANN,$ 9.272,0,$ 11.590,0
JUMBO,CERVEZA RUBIA PREMIUM LAGER BBC X 6 UND X 330 ML C-U,BBC,0,0,$ 19.590,0
JUMBO,CERVEZA HOLLANDIA EXTRA STRONG LATA X 500ML,HOLLANDIA,$ 8.792,0,$ 10.990,0
JUMBO,CERVEZA RUBIA ERDINGER BOTELLA X 500 ML,ERDINGER,$ 11.512,0,$ 14.390,0
JUMBO,CERVEZA BENEDIK TINER WEISSBIER LATA X 500 ML,BENEDIKTINER,$ 8.472,0,$ 10.590,0
JUMBO,CERVEZA 3 CORDILLERAS MESTIZA 4 PACK BOT X330ML C-U,3 CORDILLERAS,0,0,$ 15.990,0
JUMBO,CERVEZA SOL LATA X6UND X269ML C/U,SOL,$ 11.272,0,$ 14.090,0
JUMBO,CERVEZA CLUB COLOMBIA SIXPACK BOTELLA X330ML,CLUB COLOMBIA,0,0,$ 16.990,0
JUMBO,CERVEZA BENEDIKTINER WEISSBIER BARRIL X 5 L,BENEDIKTINER,$ 79.992,0,$ 99.990,0
JUMBO,CERVEZA KOSTRITZER SCHWARZBER LATA X 500 ML,KOSTRITZER,$ 8.472,0,$ 10.590,0
JUMBO,CERVEZA 3 CORDILLERAS NEGRA 4 PACK BOT X330ML C-U,3 CORDILLERAS,0,0,$ 18.590,0
JUMBO,CERVEZA PAULANER WEISSBIER LATA X 500ML,PAULANER,$ 12.472,0,$ 15.590,0
JUMBO,CERVEZA PAULANER WEISSBIER BOTELLA X 500 ML,PAULANER,$ 14.072,0,$ 17.590,0
JUMBO,CERVEZA DUVEL BOTELLA X 330 ML,DUVEL,$ 12.792,0,$ 15.990,0
JUMBO,CERVEZA INNIS&GUNN THE ORIGINAL X 330ML,INNIS&GUNN,$ 10.392,0,$ 12.990,0
JUMBO,CERVEZA BUDWEISER BOTELLA X6UND X250ML C-U,BUDWEISER,$ 10.392,0,$ 12.990,0
JUMBO,CERVEZA BBC CAJICA MIEL LATA X 4 X 269ML C/U,BBC,0,0,$ 14.790,0
JUMBO,CERVEZA ERDINGER BOTELLA NEGRA X 500 ML,ERDINGER,$ 11.192,0,$ 13.990,0
JUMBO,CERVEZA RUBIA CAJICA BBC X 4 UND X 1320 ML,BBC,0,0,$ 18.590,0
JUMBO,CERVEZA CORONA X6UND X355ML C-U + TERMO,CORONA,$ 39.192,0,$ 48.990,0
JUMBO,CERVEZA CORONA X6UND X355ML C-U + BUCKET,CORONA,$ 34.392,0,$ 42.990,0
JUMBO,CERVEZA KOSTRITZER SCHWARZBER BARRIL X 5000 ML,KOSTRITZER,$ 79.992,0,$ 99.990,0
JUMBO,CERVEZA CORONA X6UND X355ML C-U + VASO,CORONA,$ 29.352,0,$ 36.690,0
